hour,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales
2017-01-12 04:00:00,1,24.950,0.000,0.000,24.950,0.000,0.000,24.950
2017-01-12 05:00:00,2,79.900,0.000,-11.000,68.900,0.000,0.000,68.900
2017-01-12 06:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-12 07:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-12 08:00:00,2,79.900,0.000,0.000,79.900,0.000,0.000,79.900
2017-01-12 09:00:00,3,82.850,0.000,0.000,82.850,10.990,0.000,93.840
2017-01-12 10:00:00,1,44.950,0.000,0.000,44.950,0.000,0.000,44.950
2017-01-12 11:00:00,7,252.600,0.000,0.000,252.600,0.000,0.000,252.600
2017-01-12 12:00:00,4,149.800,0.000,0.000,149.800,0.000,0.000,149.800
2017-01-12 13:00:00,4,129.800,0.000,0.000,129.800,0.000,0.000,129.800
2017-01-12 14:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-12 15:00:00,3,124.850,0.000,0.000,124.850,0.000,0.000,124.850
2017-01-12 16:00:00,4,107.800,0.000,0.000,107.800,0.000,0.000,107.800
2017-01-12 17:00:00,6,204.700,0.000,0.000,204.700,0.000,0.000,204.700
2017-01-12 18:00:00,4,139.800,0.000,0.000,139.800,0.000,0.000,139.800
2017-01-12 19:00:00,2,69.900,0.000,0.000,69.900,0.000,0.000,69.900
2017-01-12 20:00:00,2,69.900,0.000,0.000,69.900,0.000,0.000,69.900
2017-01-12 21:00:00,1,24.950,0.000,0.000,24.950,0.000,0.000,24.950
2017-01-12 22:00:00,2,69.900,0.000,0.000,69.900,0.000,0.000,69.900
2017-01-12 23:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-13 00:00:00,1,44.950,0.000,0.000,44.950,10.990,0.000,55.940
2017-01-13 01:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-13 02:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-13 03:00:00,3,99.850,0.000,-34.950,64.900,0.000,0.000,64.900
2017-01-13 04:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-13 05:00:00,3,64.850,0.000,0.000,64.850,0.000,0.000,64.850
2017-01-13 06:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-13 07:00:00,5,194.750,0.000,0.000,194.750,15.980,0.000,210.730
2017-01-13 08:00:00,2,59.900,0.000,0.000,59.900,0.000,0.000,59.900
2017-01-13 09:00:00,6,219.700,0.000,0.000,219.700,0.000,0.000,219.700
2017-01-13 10:00:00,3,104.850,-8.730,0.000,96.120,7.990,0.000,104.110
2017-01-13 11:00:00,2,59.900,0.000,0.000,59.900,0.000,0.000,59.900
2017-01-13 12:00:00,3,119.800,0.000,0.000,119.800,0.000,0.000,119.800
2017-01-13 13:00:00,2,104.850,0.000,0.000,104.850,0.000,0.000,104.850
2017-01-13 14:00:00,1,44.950,0.000,0.000,44.950,0.000,0.000,44.950
2017-01-13 15:00:00,3,114.850,0.000,0.000,114.850,0.000,0.000,114.850
2017-01-13 16:00:00,5,197.700,0.000,0.000,197.700,0.000,0.000,197.700
2017-01-13 17:00:00,1,19.950,0.000,0.000,19.950,0.000,0.000,19.950
2017-01-13 18:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-13 19:00:00,2,54.900,0.000,0.000,54.900,0.000,0.000,54.900
2017-01-13 20:00:00,3,114.850,0.000,0.000,114.850,0.000,0.000,114.850
2017-01-13 21:00:00,3,114.850,-11.230,0.000,103.620,0.000,0.000,103.620
2017-01-13 22:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-13 23:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
2017-01-14 00:00:00,3,124.850,0.000,0.000,124.850,0.000,0.000,124.850
2017-01-14 01:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-14 02:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-14 03:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-14 04:00:00,1,24.950,0.000,0.000,24.950,0.000,0.000,24.950
2017-01-14 05:00:00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2017-01-14 06:00:00,1,34.950,0.000,0.000,34.950,0.000,0.000,34.950
